web_scraper_order,web_scraper_start_url,pagination,data,title,data2
"1789836295-109","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","mettre à pied","congédier ; licencier ; destituer ; renvoyer ; débaucher","v"
"1789836295-110","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","passer sous les fourches caudines","être vaincu ; être contraint d'accepter des conditions humiliantes ou ruineuses ; subir une cuisante humiliation","v"
"1789836295-111","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","regagner ses pénates","retourner à son domicile ; retourner à son foyer","v"
"1789836295-112","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","tourner en eau de boudin","partir en déconfiture ; aller à l'échec ; mal tourner ; tomber à l'eau ; ne plus avoir lieu","v"
"1789836295-113","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","au bout du rouleau","épuisé ; manquant de ressources physiques ou financières ; à la nage ; au trente-sixième dessous ; aux abois ; dans la dèche ; dans la mouise ; dans la panade ; dans le pétrin ; sur la paille ; dans une situation pénible ; sans argent ni énergie ; à bout de souffle","adv"
"1789836295-114","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","se porter comme un charme","très bien se porter ; être en parfaite santé ; se porter comme le Pont-Neuf","v"
"1789836295-115","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","dans un fauteuil","très facilement ; sans effort ; très aisé ; sans peine","adv"
"1789836295-116","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","miroir aux alouettes","leurre ; piège ; dispositif trompeur ; poudre aux yeux ; tromperie ; fumée et miroirs ; chose séduisante mais trompeuse","n"
"1789836295-117","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","découvrir le pot aux roses","découvrir le secret ; dévoiler le mystère ; déceler une réalité bien cachée ; percer le secret ; mettre au jour le secret ; mettre au jour quelque chose qui était intentionnellement caché, par honte ou par crainte de représailles","v"
"1789836295-118","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","Gros-Jean comme devant","ne pas être plus avancé ; avoir eu un espoir important et être déçu","exp"
"1789836295-119","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","mener une vie de bâton de chaise","avoir une vie désordonnée ; avoir une vie agitée ; vivre une vie de plaisirs et de débauche ; vivre de façon déréglée ; mener une vie de patachon","v"
"1789836295-120","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","rester le bec dans l'eau","être déçu après avoir espéré quelque chose ; ne pas obtenir ce qu'on attendait ; être Gros-Jean comme devant","v"
"1789836295-121","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","devoir une fière chandelle","avoir une grande dette de reconnaissance envers quelqu'un","v"
"1789836295-122","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","ca fait la rue Michel","le compte y est ; ça suffit ; c'est assez","exp"
"1789836295-123","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","avoir les yeux plus gros que le ventre","ne pas être capable de manger tout ce qu'on a demandé à se faire servir ; avoir plus d'appétit que ce qu'on peut ingurgiter ; voir trop grand ; exagérer ses capacités ; avoir plus de désir que de capacités ; prévoir plus que ce que l'on peut accomplir ; avoir les yeux plus grands que la panse","v"
"1789836295-124","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","à la queue leu leu","en file indienne ; l'un derrière l'autre ; comme des loups en marche","adv"
"1789836295-125","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","au pied de la lettre","à la lettre ; littéralement ; dans le sens strict des mots ; en n'en faisant aucune interprétation ; scrupuleusement ; au premier degré ; sans chercher à comprendre ; au sens strict ; au sens littéral du terme","adv"
